iter	Recall	Logloss
0	0.6614035088	0.4295008372
1	0.8666666667	0.3415411317
2	0.8684210526	0.2992518757
3	0.8859649123	0.2598264768
4	0.9263157895	0.228054899
5	0.9280701754	0.2089367771
6	0.9526315789	0.1963340147
7	0.9578947368	0.1850721442
8	0.9526315789	0.1763952565
9	0.9596491228	0.1663755014
10	0.9578947368	0.1576124093
11	0.9561403509	0.1526868628
12	0.9543859649	0.1445108262
13	0.949122807	0.1422757863
14	0.9543859649	0.1363220986
15	0.9526315789	0.1254624042
16	0.9456140351	0.1214180151
17	0.9403508772	0.1178977603
18	0.9421052632	0.1174677814
19	0.9403508772	0.1146717674
20	0.9438596491	0.1104805076
21	0.9526315789	0.1095027018
22	0.950877193	0.1054851576
23	0.9596491228	0.1036888064
24	0.9614035088	0.1013624385
25	0.9631578947	0.09805831168
26	0.9614035088	0.0953858205
27	0.9631578947	0.09319354652
28	0.9649122807	0.08892980215
29	0.9701754386	0.08698255817
30	0.9754385965	0.08373220427
31	0.9736842105	0.08123219644
32	0.9736842105	0.08089657786
33	0.9736842105	0.07865636705
34	0.9754385965	0.07803585602
35	0.9824561404	0.07575883977
36	0.9824561404	0.07365448217
37	0.9859649123	0.07198262104
38	0.9859649123	0.07066114516
39	0.9842105263	0.06940965104
40	0.9877192982	0.06884243571
41	0.9894736842	0.06744806705
42	0.9894736842	0.0672587252
43	0.9912280702	0.06588993927
44	0.9894736842	0.06168901668
45	0.9877192982	0.06078416764
46	0.9877192982	0.06007691186
47	0.9947368421	0.05837878734
48	0.9947368421	0.05778155282
49	0.9929824561	0.05639521755
